                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3386,                 2.7376,                 1.5335,                0.00489,                      1,                0.22179,                0.13398,                 0.6945,                 3.0019,                 1.2038,                  6e-05,                  6e-05,                  6e-05
                      2,                0.98946,                 2.5267,                 1.3339,                0.00489,                      1,                0.50228,                0.37123,                0.64904,                   3.02,                 1.2254,             0.00013861,             0.00013861,             0.00013861
                      3,                 0.9883,                 2.0042,                 1.2615,                0.00489,                      1,                0.86951,                0.59274,                0.66737,                 2.7888,                  1.225,             0.00021564,             0.00021564,             0.00021564
                      4,                0.83779,                 1.3759,                 1.2279,                0.92031,                0.52585,                0.87447,                0.64525,                0.81336,                 2.3315,                 1.2742,             0.00029109,             0.00029109,             0.00029109
                      5,                0.96733,                 1.2843,                 1.2894,                0.92361,                0.54983,                0.86083,                0.59942,                0.87748,                 2.2908,                 1.3694,             0.00036495,             0.00036495,             0.00036495
                      6,                0.95312,                 1.2456,                 1.2836,                0.83558,                0.69343,                0.88105,                0.60138,                  1.047,                 2.1661,                 1.5258,             0.00043723,             0.00043723,             0.00043723
                      7,                0.87185,                 1.1255,                 1.1705,                0.89236,                0.75426,                0.94407,                0.64656,                0.99019,                 1.9578,                 1.5368,             0.00050792,             0.00050792,             0.00050792
                      8,                0.91247,                 1.1999,                 1.1998,                0.84314,                0.48932,                0.82461,                0.51974,                 1.0629,                 2.2677,                 1.4744,             0.00057703,             0.00057703,             0.00057703
                      9,                0.91885,                 1.1103,                 1.1942,                0.87095,                0.61428,                0.83355,                0.47979,                 1.1832,                 2.4807,                 1.6702,             0.00064456,             0.00064456,             0.00064456
                     10,                0.99713,                  1.422,                 1.3632,                0.96989,                0.54545,                0.77444,                0.54296,                0.97657,                  2.367,                 1.6097,              0.0007105,              0.0007105,              0.0007105
                     11,                0.96676,                  1.216,                 1.2758,                0.88057,                0.45455,                0.66705,                0.43763,                 1.1074,                 2.4923,                 1.7639,             0.00077486,             0.00077486,             0.00077486
                     12,                 0.8798,                 1.1917,                  1.221,                0.82055,                0.72727,                0.83921,                0.58084,                 1.0805,                  2.177,                  1.739,             0.00083763,             0.00083763,             0.00083763
                     13,                0.92283,                 1.0406,                 1.1805,                0.92529,                0.56379,                 0.7792,                0.51746,                 1.2383,                 2.3252,                 2.1937,             0.00089882,             0.00089882,             0.00089882
                     14,                0.94084,                 1.1503,                 1.2476,                 0.9785,                0.59091,                0.78286,                0.50289,                 1.2753,                 2.4701,                  2.247,             0.00095843,             0.00095843,             0.00095843
                     15,                 0.9617,                 1.1667,                 1.2421,                0.62222,                0.68182,                0.71471,                0.49845,                 1.0763,                 2.3137,                  1.636,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.0744,                  1.345,                 1.4064,                 0.7493,                0.54355,                0.75022,                0.49287,                 1.0425,                 2.3736,                 1.5276,              0.0010729,              0.0010729,              0.0010729
                     17,                0.90114,                 1.1383,                 1.2379,                0.70672,                0.72727,                0.78871,                0.55397,                 1.0936,                 2.1674,                 1.6605,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.0413,                 1.1404,                  1.318,                0.71716,                0.68182,                 0.7261,                0.43907,                 1.1808,                 2.1897,                 1.7082,               0.001181,               0.001181,               0.001181
                     19,                 1.0674,                 1.0787,                 1.2393,                0.83113,                0.68182,                0.75668,                0.49723,                 1.2073,                 2.2111,                 1.6508,              0.0012327,              0.0012327,              0.0012327
                     20,                0.94817,                 1.0715,                 1.2366,                0.86134,                0.68182,                0.75629,                 0.4501,                 1.4394,                 2.5622,                 1.9509,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.0843,                 1.1905,                 1.3702,                0.79659,                0.59091,                0.74387,                0.41139,                 1.3921,                 2.5239,                 1.9236,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.0501,                 1.1527,                 1.2284,                0.88104,                0.81818,                0.85534,                0.62388,                 1.0425,                 1.8041,                 1.6658,              0.0013783,              0.0013783,              0.0013783
